Region,Coordinates,Area,Aspect Ratio,Centroid
1,"(142, 115, 189, 206)",4140.0,0.5164835164835165,"(165.5, 160.5)"
2,"(169, 217, 192, 264)",1012.0,0.48936170212765956,"(180.5, 240.5)"
3,"(134, 284, 167, 317)",1024.0,1.0,"(150.5, 300.5)"
4,"(274, 157, 297, 204)",1012.0,0.48936170212765956,"(285.5, 180.5)"
5,"(7, 369, 54, 392)",1012.0,2.0434782608695654,"(30.5, 380.5)"
6,"(209, 364, 242, 397)",1024.0,1.0,"(225.5, 380.5)"
7,"(274, 97, 297, 144)",1012.0,0.48936170212765956,"(285.5, 120.5)"
8,"(2, 11, 59, 30)",1008.0,3.0,"(30.5, 20.5)"
9,"(229, 217, 252, 264)",1012.0,0.48936170212765956,"(240.5, 240.5)"
10,"(187, 9, 234, 32)",1012.0,2.0434782608695654,"(210.5, 20.5)"
11,"(54, 373, 127, 388)",1008.0,4.866666666666666,"(90.5, 380.5)"
12,"(142, 89, 189, 112)",1012.0,2.0434782608695654,"(165.5, 100.5)"
13,"(129, 373, 202, 388)",1008.0,4.866666666666666,"(165.5, 380.5)"
14,"(84, 15, 187, 26)",1020.0,9.363636363636363,"(135.5, 20.5)"
15,"(109, 277, 132, 324)",1012.0,0.48936170212765956,"(120.5, 300.5)"
16,"(194, 184, 227, 217)",1024.0,1.0,"(210.5, 200.5)"
17,"(194, 224, 227, 257)",1024.0,1.0,"(210.5, 240.5)"
18,"(4, 317, 27, 364)",1012.0,0.48936170212765956,"(15.5, 340.5)"
19,"(242, 371, 299, 390)",1008.0,3.0,"(270.5, 380.5)"
20,"(4, 97, 27, 144)",1012.0,0.48936170212765956,"(15.5, 120.5)"
21,"(167, 271, 224, 290)",1008.0,3.0,"(195.5, 280.5)"
22,"(194, 144, 227, 177)",1024.0,1.0,"(210.5, 160.5)"
23,"(274, 277, 297, 324)",1012.0,0.48936170212765956,"(285.5, 300.5)"
24,"(239, 184, 272, 217)",1024.0,1.0,"(255.5, 200.5)"
25,"(199, 297, 222, 344)",1012.0,0.48936170212765956,"(210.5, 320.5)"
26,"(274, 217, 297, 264)",1012.0,0.48936170212765956,"(285.5, 240.5)"
27,"(4, 257, 27, 304)",1012.0,0.48936170212765956,"(15.5, 280.5)"
28,"(247, 9, 294, 32)",1012.0,2.0434782608695654,"(270.5, 20.5)"
29,"(4, 37, 27, 84)",1012.0,0.48936170212765956,"(15.5, 60.5)"
30,"(139, 317, 162, 364)",1012.0,0.48936170212765956,"(150.5, 340.5)"
